,neut,male,female,date,round,groupid,lane,age,new_distance,dandivi,yeondivi,jockey_w,raw_weight,weight_added,prev1_velo,prev2_velo,prev3_velo,cure_in_1m,jprev1_rank,jprev2_rank,jprev3_rank,prev_velo_avg,prev_rank_avg,prev_rank_mean,year,month,prediction,rank_binary,rank
63,0,0,1,2018-09-30,4,5374,11,4,1,31.4,4.5,-0.366861421,0.679668197,0.412800413,-0.043097547,0.550463911,0.06078761,1,9,3,4,15.59875123,5,8.333333333,2018,9,0.094474681,0,11
64,1,0,0,2018-09-30,4,5374,5,5,1,160.8,20.7,-0.87629371,0.113245307,0.268946301,-0.022143112,-0.469674386,-1.921901316,1,12,1,9,15.16549716,1,9,2018,9,0.024846524,0,10
65,0,0,1,2018-09-30,4,5374,3,4,1,71,13.9,-1.385726,-0.817306585,-1.457303043,0.160514246,-0.762242833,0.624288673,0,4,2,10,15.51942368,4,9.666666667,2018,9,0.08087562,0,9
66,0,0,1,2018-09-30,4,5374,12,3,1,76.3,10.6,-0.366861421,-0.675700862,-0.018761923,1.454755235,0.203886314,0.864367492,1,2,6,2,15.8851237,9,7,2018,9,0.069696143,0,8
67,0,0,1,2018-09-30,4,5374,8,3,1,22.5,3.7,-0.87629371,-0.129507361,1.851341533,0.438086487,0.59425929,1.344267397,1,5,1,12,15.8621883,8,5,2018,9,0.131931692,0,7
68,1,0,0,2018-09-30,4,5374,1,5,1,54.3,7.1,-0.87629371,0.376227363,2.282903868,-2.231009176,0.008814496,0.758342192,0,8,7,6,15.29961312,3,7.333333333,2018,9,0.112636179,0,6
69,0,1,0,2018-09-30,4,5374,10,3,1,3.3,1.7,1.161435448,-0.574553917,-2.75199005,1.215022234,1.047120083,1.166517972,1,1,2,5,16.01648821,12,2.666666667,2018,9,0.486580849,0,5
70,0,1,0,2018-09-30,4,5374,7,3,1,6.5,1.6,-0.366861421,0.801044531,-0.594178371,1.219516456,0.463190894,0.06078761,0,3,8,6,15.77162459,7,6,2018,9,0.469208509,0,4
71,0,1,0,2018-09-30,4,5374,6,4,1,22.7,3.7,-0.621577566,0.173933473,1.419779197,0.040870403,0.367058265,0.638971501,1,10,2,3,15.66834036,6,5.666666667,2018,9,0.145571962,1,3
72,0,0,1,2018-09-30,4,5374,9,3,1,7.4,1.8,-1.385726,0.133474696,0.700508637,1.006519003,0.76681958,1.523742545,0,8,8,11,15.99690805,11,4.666666667,2018,9,0.399316102,1,2
73,0,1,0,2018-09-30,4,5374,4,3,1,2.1,1.2,0.652003159,0.558291863,0.844362749,1.297593026,0.528606011,0.76795539,0,10,4,3,15.89528998,10,2.333333333,2018,9,0.664571643,1,1
74,1,0,0,2018-09-30,3,4284,12,4,1,34.6,6.2,0.142570869,-0.311571861,-3.039698274,0.25255643,-0.303675551,-0.137245529,0,10,11,9,15.48913458,5,6,2018,9,0.164210841,0,12
75,0,0,1,2018-09-30,3,4284,9,4,1,29.7,3.2,-0.366861421,-0.877994751,0.125092189,0.380793731,0.463190894,-1.716914364,0,9,5,4,15.39025914,4,7,2018,9,0.208573878,0,11
76,0,0,1,2018-09-30,3,4284,10,4,1,93,12.4,-1.131009855,-0.210424916,0.125092189,-0.001163673,0.16103162,-0.221445689,0,8,8,11,15.50725718,6,7,2018,9,0.066499978,0,10
77,0,0,1,2018-09-30,3,4284,11,4,1,118.3,24.8,-1.385726,0.43691553,0.988216861,0.25255643,0.333069981,-1.6874268,0,8,7,11,15.3567531,3,7,2018,9,0.030545374,0,7
78,0,1,0,2018-09-30,3,4284,5,3,1,5.3,1.8,-0.621577566,0.942650253,0.556654525,0.553227565,1.724772044,0.719940129,1,4,2,10,15.95301608,11,3.333333333,2018,9,0.418378502,0,6
79,0,1,0,2018-09-30,3,4284,1,3,1,54.7,6.2,1.161435448,0.416686141,-0.018761923,0.531581949,-0.122060846,-0.179395609,1,12,4,6,15.55045965,7,9,2018,9,0.099521339,0,5
80,0,1,0,2018-09-30,3,4284,2,3,0,11.6,2.7,0.397287014,-0.756618418,0.412800413,0.438086487,0.814840411,0.107076067,0,3,2,4,15.71467483,10,5.666666667,2018,9,0.329239428,1,3
81,0,1,0,2018-09-30,3,4284,4,4,1,79,10.5,-0.112145276,-0.372260028,0.988216861,0.625569493,0.246844024,-0.554288626,0,7,9,3,15.5635398,8,7,2018,9,0.09986344,1,2
82,0,1,0,2018-09-30,3,4284,6,3,1,13.7,3.5,0.142570869,0.82127392,2.42675798,-2.146297928,-1.174400245,0.905311167,0,12,1,9,15.16118409,2,7.333333333,2018,9,0.240521371,1,1
83,1,0,0,2018-09-30,2,784,7,3,1,105.7,9.8,0.397287014,-0.311571861,-1.025740707,0.087224046,1.047120083,-1.444678423,0,11,12,9,15.47162597,2,7.666666667,2018,9,0.087627485,0,12
84,0,0,1,2018-09-30,2,784,8,4,1,92.7,8.3,-0.87629371,-0.008131027,-0.162616035,1.103026213,1.341677639,0.874036803,1,12,1,9,16.00043692,10,6,2018,9,0.068254597,0,11
85,0,0,1,2018-09-30,2,784,10,4,1,16.2,3.7,-1.385726,0.517833085,0.988216861,1.03615881,0.203886314,0.246664696,0,7,4,8,15.73391949,5,5,2018,9,0.217575058,0,10
86,0,1,0,2018-09-30,2,784,11,3,1,24.9,4.9,0.906719304,0.61898003,1.132070973,0.160514246,1.056862839,2.638283213,0,1,2,5,16.07659244,11,4.333333333,2018,9,0.172861069,0,9
87,1,0,0,2018-09-30,2,784,2,4,1,19.5,3.6,-0.621577566,-0.392489417,0.988216861,-2.061150025,0.340274239,0.727318844,1,4,2,10,15.36831857,1,6.333333333,2018,9,0.15281266,0,8
88,1,0,0,2018-09-30,2,784,3,5,1,30.5,4.3,0.142570869,-0.837535974,-0.306470147,1.15147309,0.203886314,-0.305247269,1,10,4,3,15.6707399,3,5,2018,9,0.164802641,0,7
